date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir,steam_valid,missing_raw,price_was_filled,days_since_last_trade,mom_7,mom_14,roll_mean_14,roll_std_14,log_price,cat_index_used,rel_to_cat,spread_to_cat,vol_weighted_return,cat_mom_7,mom_vs_cat_7
2014-11-26,Souvenir P250 | Bone Mask (Field-Tested),0.528,0.528,13.0,0.373,0.537,0.586,0.4155495978552279,-0.0167597765363128,0.4265714285714286,0.0531301828204139,0.5462666666666666,0.1400642550958507,0.2447930926669095,98.0,14.0,395.0,13.166666666666666,2,11,0.0,0.642,Souvenir P250 | Bone Mask (Field-Tested),Souvenir P250 | Bone Mask (Field-Tested),0,1,1,0,0,0,,,0.4422857142857143,0.060796544147013964,0.42395969074432877,,,,,-0.27362758092451783,
2014-11-27,Souvenir P250 | Bone Mask (Field-Tested),0.439,0.439,26.0,0.528,0.472,0.557,-0.168560606060606,-0.069915254237288,0.4218571428571429,0.0502775967473971,0.5423333333333333,0.1413584883274514,0.2469022865645917,116.0,16.571428571428573,409.0,13.633333333333333,3,11,0.0,0.65,Souvenir P250 | Bone Mask (Field-Tested),Souvenir P250 | Bone Mask (Field-Tested),0,1,1,0,0,0,,,0.4427857142857143,0.0607341984152495,0.36394842790523074,,,,,-0.19339577995183646,
2014-11-28,Souvenir P250 | Bone Mask (Field-Tested),0.39,0.39,36.0,0.439,0.415,0.506,-0.1116173120728929,-0.0602409638554216,0.4182857142857143,0.0515106487900852,0.5384666666666666,0.1438637627139726,0.2472293951437381,141.0,20.142857142857142,432.0,14.4,4,11,0.0,0.6102857142857143,Souvenir P250 | Bone Mask (Field-Tested),Souvenir P250 | Bone Mask (Field-Tested),0,1,1,0,0,0,,,0.4423571428571429,0.06110974634950743,0.3293037471426004,,,,,-0.09864196694593451,
2014-11-29,Souvenir P250 | Bone Mask (Field-Tested),0.572,0.572,11.0,0.39,0.366,0.513,0.4666666666666665,0.5628415300546448,0.4477142857142858,0.0690811412878554,0.5404333333333333,0.1439054512132493,0.2599515472026737,135.0,19.285714285714285,434.0,14.466666666666669,5,11,0.0,0.5748571428571428,Souvenir P250 | Bone Mask (Field-Tested),Souvenir P250 | Bone Mask (Field-Tested),0,1,1,0,0,0,,,0.4566428571428572,0.06653351629974794,0.4523486940070148,,,,,-0.01593188661554747,
2014-11-30,Souvenir P250 | Bone Mask (Field-Tested),0.312,0.312,43.0,0.572,0.4,0.754,-0.4545454545454545,-0.22,0.4351428571428571,0.0831872733594483,0.5257,0.1439122765205711,0.2612563606525983,160.0,22.857142857142858,467.0,15.566666666666666,6,11,0.0,0.5517142857142857,Souvenir P250 | Bone Mask (Field-Tested),Souvenir P250 | Bone Mask (Field-Tested),0,1,1,0,0,0,,,0.44042857142857145,0.07232694389497492,0.2715526905218973,,,,,-0.010519747734020837,
2014-11-15,Souvenir PP-Bizon | Sand Dashed (Well-Worn),0.348,0.348,2.0,0.315,0.325,0.327,0.1047619047619046,0.0707692307692307,0.3505714285714285,0.0261962764140093,0.3919333333333333,0.3373946189388457,1.3062075406004536,11.0,1.5714285714285714,45.0,1.5,5,11,0.0,0.3264285714285714,Souvenir PP-Bizon | Sand Dashed (Well-Worn),Souvenir PP-Bizon | Sand Dashed (Well-Worn),0,1,1,0,0,0,,,0.33678571428571435,0.045438341267510854,0.2986220124901153,,,,,-0.027308514522787628,
2014-11-16,Souvenir PP-Bizon | Sand Dashed (Well-Worn),0.304,0.304,3.0,0.348,0.32,0.327,-0.1264367816091953,-0.05,0.3482857142857142,0.0292804873384223,0.3911666666666666,0.3375673842196382,1.3070940106802664,12.0,1.7142857142857142,48.0,1.6,6,11,0.0,0.3275714285714285,Souvenir PP-Bizon | Sand Dashed (Well-Worn),Souvenir PP-Bizon | Sand Dashed (Well-Worn),0,1,1,0,0,0,,,0.3324285714285714,0.0454494043046581,0.2654364635044612,,,,,-0.026215072027583348,
2014-11-17,Souvenir PP-Bizon | Sand Dashed (Well-Worn),,0.304,0.0,0.304,0.343,0.327,0.0,-0.1137026239067056,0.3427142857142856,0.0332037617736058,0.3903999999999999,0.3377383207948622,1.3070940106802664,11.0,1.5714285714285714,48.0,1.6,0,11,1.0,0.32,Souvenir PP-Bizon | Sand Dashed (Well-Worn),Souvenir PP-Bizon | Sand Dashed (Well-Worn),0,1,0,1,1,1,,,0.3267142857142857,0.043451880673520404,0.2654364635044612,,,,,-0.08442687884274212,
2014-11-18,Souvenir PP-Bizon | Sand Dashed (Well-Worn),0.39,0.39,2.0,0.304,0.366,0.31,0.2828947368421053,0.0655737704918033,0.3461428571428571,0.0365060800080071,0.3930666666666667,0.3374086477189871,1.3062428221853368,11.0,1.5714285714285714,49.0,1.6333333333333333,1,11,0.0,0.3022857142857143,Souvenir PP-Bizon | Sand Dashed (Well-Worn),Souvenir PP-Bizon | Sand Dashed (Well-Worn),0,1,1,0,0,0,,,0.3385714285714285,0.03511675971935247,0.3293037471426004,,,,,-0.09038431567639996,
2014-11-19,Souvenir PP-Bizon | Sand Dashed (Well-Worn),,0.39,0.0,0.39,0.366,0.31,0.0,0.0655737704918033,0.3495714285714286,0.0392350322429081,0.3957333333333334,0.3370575552565993,1.3062428221853368,11.0,1.5714285714285714,49.0,1.6333333333333333,2,11,1.0,0.2941428571428571,Souvenir PP-Bizon | Sand Dashed (Well-Worn),Souvenir PP-Bizon | Sand Dashed (Well-Worn),0,1,0,1,1,1,,,0.34685714285714286,0.032279684353753314,0.3293037471426004,,,,,-0.08177846369705401,
2014-11-20,Souvenir PP-Bizon | Sand Dashed (Well-Worn),0.313,0.313,1.0,0.39,0.396,0.373,-0.1974358974358975,-0.2095959595959596,0.3377142857142857,0.0358038876010265,0.3937333333333335,0.3373643859225346,1.308399377401825,10.0,1.4285714285714286,49.0,1.6333333333333333,3,11,0.0,0.2974285714285715,Souvenir PP-Bizon | Sand Dashed (Well-Worn),Souvenir PP-Bizon | Sand Dashed (Well-Worn),0,1,1,0,0,0,,,0.3432142857142857,0.03306445586665786,0.27231459532065916,,,,,-0.22686971124731792,
2014-11-21,Souvenir PP-Bizon | Sand Dashed (Well-Worn),0.25,0.25,2.0,0.313,0.315,0.319,-0.2012779552715654,-0.2063492063492064,0.3284285714285714,0.0471285692634131,0.3914333333333334,0.3381004469417664,1.3089454343786624,10.0,1.4285714285714286,49.0,1.6333333333333333,4,11,0.0,0.2982857142857143,Souvenir PP-Bizon | Sand Dashed (Well-Worn),Souvenir PP-Bizon | Sand Dashed (Well-Worn),0,1,1,0,0,0,,,0.3378571428571428,0.04129417381675912,0.22314355131420976,,,,,-0.22382941820702487,
